procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 3562500  44704 2466688    0    0     0     0 5468 9641 44 24 33  0  0
 5  0      0 3559652  44712 2466680    0    0     0    92 6098 11650 57 14 29  0  0
 7  0      0 3558208  44712 2466688    0    0     0   524 5686 9947 48 23 29  0  0
 5  0      0 3561684  44712 2466688    0    0     0     0 6359 11867 55 14 30  0  0
 8  0      0 3549968  44720 2466708    0    0     0   140 4621 7086 48 23 29  0  0
 5  0      0 3538356  44728 2466724    0    0     0   128 4396 6651 44 29 27  0  0
 6  0      0 3540460  44728 2466740    0    0     0     0 5831 11042 52 19 29  0  0
 5  0      0 3537784  44728 2466740    0    0     0   368 4868 7599 47 25 27  0  0
 6  0      0 3537956  44728 2466744    0    0     0     0 4696 6721 44 25 31  0  0
 9  0      0 3538188  44728 2466744    0    0     0     0 4440 6335 45 28 28  0  0
 6  0      0 3568224  44736 2466708    0    0     0   160 5339 8626 49 23 28  0  0
 6  0      0 3569060  44736 2466720    0    0     0     0 6252 11385 53 17 30  0  0
 8  0      0 3566648  44736 2466720    0    0     0   300 6471 11543 57 13 30  0  0
 6  0      0 3565664  44736 2466720    0    0     0     0 5930 10400 59 13 28  0  0
 5  0      0 3565424  44736 2466720    0    0     0     0 5686 10321 56 16 28  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 3563032  44744 2466712    0    0     0    88 5057 8419 60 15 26  0  0
 9  0      0 3563592  44744 2466692    0    0     0     0 5860 9848 53 17 30  0  0
 6  0      0 3563176  44744 2466692    0    0     0   304 4777 7452 51 16 33  0  0
 0
 2  0      0 3550536  44612 2466160    0    0     0     0 4754 9189 60 14 26  0  0
 6  0      0 3549232  44620 2466160    0    0     0   124 4977 8233 58 16 26  0  0
 5  0      0 3547376  44636 2466164    0    0     0   232 5640 8708 53 16 31  0  0
 5  0      0 3551620  44644 2466156    0    0     0   116 5241 8595 57 15 28  0  0
 8  0      0 3554036  44660 2466164    0    0     0   232 5301 7910 55 18 27  0  0
 7  0      0 3553852  44660 2466164    0    0     0     0 5970 9936 59 10 30  0  0
 8  0      0 3553944  44668 2466164    0    0     0   124 5841 9770 55 16 29  0  0
 7  0      0 3554460  44668 2466164    0    0     0     0 5454 9603 56 15 29  0  0
 7  0      0 3555412  44668 2466168    0    0     0     0 5475 9593 58 14 28  0  0
 6  0      0 3552664  44676 2466164    0    0     0   604 5887 9291 54 17 29  0  0
 4  0      0 3552912  44676 2466172    0    0     0     0 5346 8742 56 18 26  0  0
 6  0      0 3550256  44676 2466172    0    0     0     0 5481 8521 57 16 27  0  0
 7  0      0 3550256  44676 2466172    0    0     0     0 4869 7718 56 19 24  0  0
 5  0      0 3550256  44676 2466172    0    0     0     0 5220 8191 54 20 26  0  0
 7  0      0 3549332  44684 2466356    0    0     0   424 4622 7104 47 20 32  0  0
 6  0      0 3547656  44684 2466456    0    0     0     0 5657 10770 58 11 31  0  0
 5  0      0 3547164  44684 2466456    0    0     0     0 5921 10650 58 12 30  0  0
 5  0      0 3547164  44684 2466656    0    0     0     0 5488 9923 62 10 28  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 3548984  44684 2466656    0    0     0     0 6400 12509 56 11 33  0  0
 6  0      0 3550648  44692 2466656    0    0     0   372 6367 12586 53 13 33  0  0
 6  0      0 3550940  44692 2466656    0    0     0     0 7125 13292 48 14 38  0  0
 8  0      0 3553824  44692 2466660    0    0     0     0 6721 12098 50 15 35  0  0
 5  0      0 3553340  44692 2466660    0    0     0     0 6596 11699 51 14 35  0  0
 6  0      0 3547668  44692 2466664    0    0     0     0 6203 11986 48 16 35  0  0
11  1      0 3567088  44704 2466660    0    0     0   272 5045 7880 50 21 29  0  0
 5  0      0 3565524  44704 2466624    0    0     0   188 5269 8903 49 22 29  0  0
 8  0      0 3563028  44704 2466688    0    0     0     0 6577 12587 52 14 35  0  0
 5  0      0 3564108  44704 2466688    0    0     0     0 6645 12931 55 12 33  0  0
 7  0      0 3563620  44704 2466688    0    0     0     0 5318 8850 44 24 32  0  0
 7  0      0 3559768  44712 2466680    0    0     0    92 6148 11890 56 14 30  0  0
 7  0      0 3558208  44712 2466688    0    0     0   524 5719 10289 47 22 30  0  0
 5  0      0 3561876  44712 2466688    0    0     0     0 6211 11509 56 14 29  0  0
 7  0      0 3550220  44720 2466696    0    0     0   140 5395 9015 50 20 30  0  0
 7  0      0 3537740  44728 2466724    0    0     0   128 3955 5267 42 32 26  0  0
 7  0      0 3538892  44728 2466740    0    0     0     0 5859 11286 51 20 29  0  0
 8  0      0 3537896  44728 2466740    0    0     0   368 5173 8588 48 23 28  0  0
 5  0      0 3538124  44728 2466744    0    0     0     0 4694 6712 44 24 31  0  0
 5  0      0 3538188  44728 2466744    0    0     0     0 4366 6018 45 28 28  0  0
 5  0      0 3569396  44736 2466708    0    0     0   160 5221 8579 50 22 28  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 3570420  44736 2466720    0    0     0     0 5691 9672 51 20 28  0  0
 7  0      0 3566524  44736 2466720    0    0     0   300 6773 12539 55 14 32  0  0
 5  0      0 3565664  44736 2466720    0    0     0     0 5992 10484 60 12 28  0  0
 7  0      0 3565424  44736 2466720    0    0     0     0 5704 10198 56 17 27  0  0
 7  0      0 3563284  44744 2466712    0    0     0    88 5401 9320 58 14 28  0  0
 8  0      0 3563116  44744 2466692    0    0     0     0 5439 9122 54 18 28  0  0
 7  0      0 3563292  44744 2466692    0    0     0   304 5163 7709 49 16 35  0  0
2  0  0
 7  0      0 3537360  44720 2467232    0    0     0   140 4166 5648 45 29 26  0  0
 6  0      0 3534688  44728 2466740    0    0     0   128 4804 8130 46 26 28  0  0
 8  0      0 3540860  44728 2466740    0    0     0     0 5723 10461 51 19 30  0  0
 4  0      0 3538236  44728 2466740    0    0     0   368 4685 6878 46 26 28  0  0
 8  0      0 3537988  44728 2466744    0    0     0     0 4720 6770 45 26 29  0  0
 7  0      0 3539188  44728 2466744    0    0     0     0 4845 7672 47 24 29  0  0
 8  0      0 3567792  44736 2466720    0    0     0   160 4934 7549 52 24 25  0  0
 7  0      0 3566544  44736 2466720    0    0     0     0 6900 12989 52 15 33  0  0
 4  0      0 3566844  44736 2466720    0    0     0   300 5923 10279 60 13 27  0  0
 4  0      0 3565424  44736 2466720    0    0     0     0 5987 10593 57 15 28  0  0
 7  0      0 3564528  44736 2466720    0    0     0     0 5529 9995 56 15 28  0  0
 6  0      0 3563080  44744 2466692    0    0     0    88 5157 8393 58 16 26  0  0
 8  0      0 3563316  44744 2466692    0    0     0     0 5865 9953 50 14 36  0  0
 8  0      0 3563188  44744 2466692    0    0     0   304 5454 8913 56 17 26  0  0
